start	end	text	parse_string	label
7.901999999999999	8.411999999999999	almost never	(ADVP (RB almost) (RB never))	('ADVP',)
8.452	12.492	go places that are designed by humans for humans	(VP (VBP go) (NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans)))))))))	('VP',)
9.572	12.492	places that are designed by humans for humans	(NP (NP (NNS places)) (SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))))))	('NP',)
9.862	12.492	that are designed by humans for humans	(SBAR (WHNP (WDT that)) (S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans)))))))	('SBAR',)
9.992	12.492	are designed by humans for humans	(S (VP (VBP are) (VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))))	('S', 'VP')
10.042	12.492	designed by humans for humans	(VP (VBN designed) (PP (IN by) (NP (NNS humans))) (PP (IN for) (NP (NNS humans))))	('VP',)
10.732	11.582	by humans	(PP (IN by) (NP (NNS humans)))	('PP',)
11.692	12.492	for humans	(PP (IN for) (NP (NNS humans)))	('PP',)
13.092	18.162	This act ends up in a place like that but it starts about as far from there as you can get	(S (S (NP (DT This) (NN act)) (VP (VBZ ends) (PRT (RP up)) (PP (IN in) (NP (NP (DT a) (NN place)) (PP (IN like) (NP (DT that))))))) (CC but) (S (NP (PRP it)) (VP (VBZ starts) (ADVP (ADVP (RB about) (RB as) (RB far) (PP (IN from) (ADVP (RB there)))) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get)))))))))	('S',)
13.092	15.322	This act ends up in a place like that	(S (NP (DT This) (NN act)) (VP (VBZ ends) (PRT (RP up)) (PP (IN in) (NP (NP (DT a) (NN place)) (PP (IN like) (NP (DT that)))))))	('S',)
13.092	13.712	This act	(NP (DT This) (NN act))	('NP',)
14.142	15.322	ends up in a place like that	(VP (VBZ ends) (PRT (RP up)) (PP (IN in) (NP (NP (DT a) (NN place)) (PP (IN like) (NP (DT that))))))	('VP',)
14.572	15.322	in a place like that	(PP (IN in) (NP (NP (DT a) (NN place)) (PP (IN like) (NP (DT that)))))	('PP',)
14.622	15.322	a place like that	(NP (NP (DT a) (NN place)) (PP (IN like) (NP (DT that))))	('NP',)
14.622	14.872	a place	(NP (DT a) (NN place))	('NP',)
14.872	15.322	like that	(PP (IN like) (NP (DT that)))	('PP',)
16.442	18.162	it starts about as far from there as you can get	(S (NP (PRP it)) (VP (VBZ starts) (ADVP (ADVP (RB about) (RB as) (RB far) (PP (IN from) (ADVP (RB there)))) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get))))))))	('S',)
16.552	18.162	starts about as far from there as you can get	(VP (VBZ starts) (ADVP (ADVP (RB about) (RB as) (RB far) (PP (IN from) (ADVP (RB there)))) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get)))))))	('VP',)
16.822	18.162	about as far from there as you can get	(ADVP (ADVP (RB about) (RB as) (RB far) (PP (IN from) (ADVP (RB there)))) (SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get))))))	('ADVP',)
16.822	17.562	about as far from there	(ADVP (RB about) (RB as) (RB far) (PP (IN from) (ADVP (RB there))))	('ADVP',)
17.291999999999998	17.562	from there	(PP (IN from) (ADVP (RB there)))	('PP',)
17.562	18.162	as you can get	(SBAR (IN as) (S (NP (PRP you)) (VP (MD can) (VP (VB get)))))	('SBAR',)
17.712	18.162	you can get	(S (NP (PRP you)) (VP (MD can) (VP (VB get))))	('S',)
17.782	18.162	can get	(VP (MD can) (VP (VB get)))	('VP',)
19.052	20.072	Dana Chivvis explains	(S (NP (NNP Dana) (NNP Chivvis)) (VP (VBZ explains)))	('S',)
19.052	19.542	Dana Chivvis	(NP (NNP Dana) (NNP Chivvis))	('NP',)
21.2339279296875	25.4239279296875	Our story begins deep in the rainforests of Indonesia on an island called Sulawesi	(S (NP (PRP$ Our) (NN story)) (VP (VBZ begins) (PP (ADVP (RB deep)) (IN in) (NP (NP (DT the) (NNS rainforests)) (PP (IN of) (NP (NNP Indonesia))))) (PP (IN on) (NP (NP (DT an) (NN island)) (VP (VBN called) (S (NP (NNP Sulawesi))))))))	('S',)
21.2339279296875	21.6139279296875	Our story	(NP (PRP$ Our) (NN story))	('NP',)
21.6139279296875	25.4239279296875	begins deep in the rainforests of Indonesia on an island called Sulawesi	(VP (VBZ begins) (PP (ADVP (RB deep)) (IN in) (NP (NP (DT the) (NNS rainforests)) (PP (IN of) (NP (NNP Indonesia))))) (PP (IN on) (NP (NP (DT an) (NN island)) (VP (VBN called) (S (NP (NNP Sulawesi)))))))	('VP',)
21.9439279296875	23.7739279296875	deep in the rainforests of Indonesia	(PP (ADVP (RB deep)) (IN in) (NP (NP (DT the) (NNS rainforests)) (PP (IN of) (NP (NNP Indonesia)))))	('PP',)
22.293927929687506	23.7739279296875	the rainforests of Indonesia	(NP (NP (DT the) (NNS rainforests)) (PP (IN of) (NP (NNP Indonesia))))	('NP',)
22.293927929687506	23.0739279296875	the rainforests	(NP (DT the) (NNS rainforests))	('NP',)
23.0939279296875	23.7739279296875	of Indonesia	(PP (IN of) (NP (NNP Indonesia)))	('PP',)
23.9139279296875	25.4239279296875	on an island called Sulawesi	(PP (IN on) (NP (NP (DT an) (NN island)) (VP (VBN called) (S (NP (NNP Sulawesi))))))	('PP',)
24.1139279296875	25.4239279296875	an island called Sulawesi	(NP (NP (DT an) (NN island)) (VP (VBN called) (S (NP (NNP Sulawesi)))))	('NP',)
24.1139279296875	24.4839279296875	an island	(NP (DT an) (NN island))	('NP',)
24.4839279296875	25.4239279296875	called Sulawesi	(VP (VBN called) (S (NP (NNP Sulawesi))))	('VP',)
26.1939279296875	31.0239279296875	A few years ago the photographer David Slater traveled there from his home in England to photograph a troop of	(S (ADVP (NP (DT A) (JJ few) (NNS years)) (RB ago)) (NP (NP (DT the) (NN photographer)) (NP (NNP David) (NNP Slater))) (VP (VBD traveled) (ADVP (RB there)) (PP (IN from) (NP (NP (PRP$ his) (NN home)) (PP (IN in) (NP (NNP England))))) (S (VP (TO to) (VP (VB photograph) (NP (NP (DT a) (NN troop)) (PP (IN of))))))))	('S',)
26.1939279296875	27.0839279296875	A few years ago	(ADVP (NP (DT A) (JJ few) (NNS years)) (RB ago))	('ADVP',)
26.1939279296875	26.7139279296875	A few years	(NP (DT A) (JJ few) (NNS years))	('NP',)
27.2539279296875	28.4439279296875	the photographer David Slater	(NP (NP (DT the) (NN photographer)) (NP (NNP David) (NNP Slater)))	('NP',)
27.2539279296875	27.8339279296875	the photographer	(NP (DT the) (NN photographer))	('NP',)
27.8339279296875	28.4439279296875	David Slater	(NP (NNP David) (NNP Slater))	('NP',)
28.4439279296875	31.0239279296875	traveled there from his home in England to photograph a troop of	(VP (VBD traveled) (ADVP (RB there)) (PP (IN from) (NP (NP (PRP$ his) (NN home)) (PP (IN in) (NP (NNP England))))) (S (VP (TO to) (VP (VB photograph) (NP (NP (DT a) (NN troop)) (PP (IN of)))))))	('VP',)
28.9839279296875	29.9639279296875	from his home in England	(PP (IN from) (NP (NP (PRP$ his) (NN home)) (PP (IN in) (NP (NNP England)))))	('PP',)
29.1639279296875	29.9639279296875	his home in England	(NP (NP (PRP$ his) (NN home)) (PP (IN in) (NP (NNP England))))	('NP',)
29.1639279296875	29.4539279296875	his home	(NP (PRP$ his) (NN home))	('NP',)
29.4539279296875	29.9639279296875	in England	(PP (IN in) (NP (NNP England)))	('PP',)
30.1639279296875	31.0239279296875	to photograph a troop of	(S (VP (TO to) (VP (VB photograph) (NP (NP (DT a) (NN troop)) (PP (IN of))))))	('S', 'VP')
30.2539279296875	31.0239279296875	photograph a troop of	(VP (VB photograph) (NP (NP (DT a) (NN troop)) (PP (IN of))))	('VP',)
30.6839279296875	31.0239279296875	a troop of	(NP (NP (DT a) (NN troop)) (PP (IN of)))	('NP',)
30.6839279296875	30.9239279296875	a troop	(NP (DT a) (NN troop))	('NP',)
31.0239279296875	42.58532792968749	monkeys I'd gone a whole day just following them Mm into the thick of the forest through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and	(VP (SBAR (NP (NNS monkeys)) (NP (PRP I)) (VP (MD 'd) (VP (VBN gone) (NP (DT a) (JJ whole) (NN day)) (ADVP (RB just)) (VP (VBG following) (NP (PRP them)) (ADVP (RB Mm)) (PP (IN into) (NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest))))) (PP (IN through) (NP (DT the) (NNS tangles)) (CC and) (NP (DT the) (NNS vines)) (CC and) (NP (DT the) (JJ muddy) (NN undergrowth)) (CC and) (NP (DT the) (NNS cobwebs)) (CC and) (NP (DT the) (JJ poisonous) (NNS snakes)) (CC and)))))))	('VP', 'SBAR')
31.8098279296875	42.58532792968749	'd gone a whole day just following them Mm into the thick of the forest through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and	(VP (MD 'd) (VP (VBN gone) (NP (DT a) (JJ whole) (NN day)) (ADVP (RB just)) (VP (VBG following) (NP (PRP them)) (ADVP (RB Mm)) (PP (IN into) (NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest))))) (PP (IN through) (NP (DT the) (NNS tangles)) (CC and) (NP (DT the) (NNS vines)) (CC and) (NP (DT the) (JJ muddy) (NN undergrowth)) (CC and) (NP (DT the) (NNS cobwebs)) (CC and) (NP (DT the) (JJ poisonous) (NNS snakes)) (CC and)))))	('VP',)
31.9898279296875	42.58532792968749	gone a whole day just following them Mm into the thick of the forest through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and	(VP (VBN gone) (NP (DT a) (JJ whole) (NN day)) (ADVP (RB just)) (VP (VBG following) (NP (PRP them)) (ADVP (RB Mm)) (PP (IN into) (NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest))))) (PP (IN through) (NP (DT the) (NNS tangles)) (CC and) (NP (DT the) (NNS vines)) (CC and) (NP (DT the) (JJ muddy) (NN undergrowth)) (CC and) (NP (DT the) (NNS cobwebs)) (CC and) (NP (DT the) (JJ poisonous) (NNS snakes)) (CC and))))	('VP',)
32.1298279296875	32.6098279296875	a whole day	(NP (DT a) (JJ whole) (NN day))	('NP',)
32.799827929687495	42.58532792968749	following them Mm into the thick of the forest through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and	(VP (VBG following) (NP (PRP them)) (ADVP (RB Mm)) (PP (IN into) (NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest))))) (PP (IN through) (NP (DT the) (NNS tangles)) (CC and) (NP (DT the) (NNS vines)) (CC and) (NP (DT the) (JJ muddy) (NN undergrowth)) (CC and) (NP (DT the) (NNS cobwebs)) (CC and) (NP (DT the) (JJ poisonous) (NNS snakes)) (CC and)))	('VP',)
33.8053279296875	35.0753279296875	into the thick of the forest	(PP (IN into) (NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest)))))	('PP',)
33.9953279296875	35.0753279296875	the thick of the forest	(NP (NP (DT the) (JJ thick)) (PP (IN of) (NP (DT the) (NN forest))))	('NP',)
33.9953279296875	34.3153279296875	the thick	(NP (DT the) (JJ thick))	('NP',)
34.3353279296875	35.0753279296875	of the forest	(PP (IN of) (NP (DT the) (NN forest)))	('PP',)
34.3953279296875	35.0753279296875	the forest	(NP (DT the) (NN forest))	('NP',)
35.5153279296875	42.58532792968749	through the tangles and the vines and the muddy undergrowth and the cobwebs and the poisonous snakes and	(PP (IN through) (NP (DT the) (NNS tangles)) (CC and) (NP (DT the) (NNS vines)) (CC and) (NP (DT the) (JJ muddy) (NN undergrowth)) (CC and) (NP (DT the) (NNS cobwebs)) (CC and) (NP (DT the) (JJ poisonous) (NNS snakes)) (CC and))	('PP',)
35.6753279296875	36.3853279296875	the tangles	(NP (DT the) (NNS tangles))	('NP',)
36.545327929687495	37.5353279296875	the vines	(NP (DT the) (NNS vines))	('NP',)
37.685327929687496	39.33532792968749	the muddy undergrowth	(NP (DT the) (JJ muddy) (NN undergrowth))	('NP',)
39.4653279296875	40.4653279296875	the cobwebs	(NP (DT the) (NNS cobwebs))	('NP',)
40.5653279296875	42.405327929687495	the poisonous snakes	(NP (DT the) (JJ poisonous) (NNS snakes))	('NP',)
42.37532792968749	43.6342279296875	Oh man you name it	(S (INTJ (UH Oh) (UH man)) (NP (PRP you)) (VP (VBP name) (NP (PRP it))))	('S',)
42.37532792968749	42.9153279296875	Oh man	(INTJ (UH Oh) (UH man))	('INTJ',)
43.2342279296875	43.6342279296875	name it	(VP (VBP name) (NP (PRP it)))	('VP',)
43.65422792968749	44.04422792968749	I had to	(S (NP (PRP I)) (VP (VBD had) (S (VP (TO to)))))	('S',)
43.754227929687495	44.04422792968749	had to	(VP (VBD had) (S (VP (TO to))))	('VP',)
49.3542279296875	51.1742279296875	I I I was a monkey honestly	(S (PRP I) (EX I) (PRP I) (VP (VP (VBD was) (NP (DT a) (NN monkey))) (ADVP (RB honestly))))	('S',)
49.8842279296875	51.1742279296875	was a monkey honestly	(VP (VP (VBD was) (NP (DT a) (NN monkey))) (ADVP (RB honestly)))	('VP',)
49.8842279296875	50.6342279296875	was a monkey	(VP (VBD was) (NP (DT a) (NN monkey)))	('VP',)
50.1042279296875	50.6342279296875	a monkey	(NP (DT a) (NN monkey))	('NP',)
51.9441279296875	54.9741279296875	I I had I met monkeys before like I said mean all over the world	(S (NP (PRP I) (PRP I)) (VP (VBD had) (NP (PRP I)) (VP (VBD met) (NP (NNS monkeys)) (ADVP (RB before)) (SBAR (IN like) (S (NP (PRP I)) (VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world))))))))))	('S',)
51.9441279296875	52.2641279296875	I I	(NP (PRP I) (PRP I))	('NP',)
52.2841279296875	54.9741279296875	had I met monkeys before like I said mean all over the world	(VP (VBD had) (NP (PRP I)) (VP (VBD met) (NP (NNS monkeys)) (ADVP (RB before)) (SBAR (IN like) (S (NP (PRP I)) (VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world)))))))))	('VP',)
52.554127929687496	54.9741279296875	met monkeys before like I said mean all over the world	(VP (VBD met) (NP (NNS monkeys)) (ADVP (RB before)) (SBAR (IN like) (S (NP (PRP I)) (VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world))))))))	('VP',)
53.4341279296875	54.9741279296875	like I said mean all over the world	(SBAR (IN like) (S (NP (PRP I)) (VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world)))))))	('SBAR',)
53.5741279296875	54.9741279296875	I said mean all over the world	(S (NP (PRP I)) (VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world))))))	('S',)
53.704127929687495	54.9741279296875	said mean all over the world	(VP (VP (VBD said)) (VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world)))))	('VP',)
54.0341279296875	54.9741279296875	mean all over the world	(VP (VBP mean) (PP (DT all) (IN over) (NP (DT the) (NN world))))	('VP',)
54.2241279296875	54.9741279296875	all over the world	(PP (DT all) (IN over) (NP (DT the) (NN world)))	('PP',)
54.5441279296875	54.9741279296875	the world	(NP (DT the) (NN world))	('NP',)
55.5841279296875	61.804127929687496	And uh you know I know a little bit about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(S (CC And) (INTJ (UH uh)) (NP (PRP you)) (VP (VBP know) (SBAR (S (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))))))))))))	('S',)
55.9741279296875	61.804127929687496	know I know a little bit about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(VP (VBP know) (SBAR (S (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face))))))))))))))	('VP',)
56.1141279296875	61.804127929687496	I know a little bit about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(SBAR (S (NP (PRP I)) (VP (VBP know) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))))))))))	('SBAR', 'S')
56.1941279296875	61.804127929687496	know a little bit about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(VP (VBP know) (NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))))))))	('VP',)
56.2941279296875	61.804127929687496	a little bit about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(NP (NP (DT a) (JJ little) (NN bit)) (PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face))))))))))	('NP',)
56.2941279296875	56.664127929687496	a little bit	(NP (DT a) (JJ little) (NN bit))	('NP',)
56.7241279296875	61.804127929687496	about monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(PP (IN about) (NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))))))	('PP',)
57.0141279296875	61.804127929687496	monkey monkey etiquette and showing your teeth not to show your teeth not to stare them in the face	(NP (NP (NML (NN monkey) (NN monkey)) (NN etiquette)) (CC and) (S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face))))))))	('NP',)
57.0141279296875	58.304127929687496	monkey monkey etiquette	(NP (NML (NN monkey) (NN monkey)) (NN etiquette))	('NP',)
57.0141279296875	57.67412792968749	monkey monkey	(NML (NN monkey) (NN monkey))	('NML',)
58.6141279296875	61.804127929687496	showing your teeth not to show your teeth not to stare them in the face	(S (VP (VBG showing) (NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))) (RB not) (VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))))	('S', 'VP')
58.914127929687496	60.49412792968749	your teeth not to show your teeth	(NP (NP (PRP$ your) (NNS teeth)) (RB not) (VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth)))))	('NP',)
58.914127929687496	59.664127929687496	your teeth	(NP (PRP$ your) (NNS teeth))	('NP',)
59.804127929687496	60.49412792968749	to show your teeth	(VP (TO to) (VP (VB show) (NP (PRP$ your) (NNS teeth))))	('VP',)
59.92412792968749	60.49412792968749	show your teeth	(VP (VB show) (NP (PRP$ your) (NNS teeth)))	('VP',)
60.13412792968749	60.49412792968749	your teeth	(NP (PRP$ your) (NNS teeth))	('NP',)
60.6441279296875	61.804127929687496	to stare them in the face	(VP (TO to) (VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face)))))	('VP',)
60.734127929687496	61.804127929687496	stare them in the face	(VP (VB stare) (NP (PRP them)) (PP (IN in) (NP (DT the) (NN face))))	('VP',)
61.1141279296875	61.804127929687496	in the face	(PP (IN in) (NP (DT the) (NN face)))	('PP',)
61.204127929687495	61.804127929687496	the face	(NP (DT the) (NN face))	('NP',)
62.2841279296875	68.2041279296875	Yeah I this is this is one of the secrets actually of being able to get get get good photography is making the animal relaxed	(S (INTJ (UH Yeah)) (NP (PRP I) (NP (DT this))) (VP (VBZ is) (SBAR (S (NP (DT this)) (VP (VBZ is) (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))) (VP (VBZ is) (S (VP (VBG making) (S (NP (DT the) (NN animal)) (ADJP (JJ relaxed))))))))))))	('S',)
62.5441279296875	62.9441279296875	I this	(NP (PRP I) (NP (DT this)))	('NP',)
62.984127929687496	68.2041279296875	is this is one of the secrets actually of being able to get get get good photography is making the animal relaxed	(VP (VBZ is) (SBAR (S (NP (DT this)) (VP (VBZ is) (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))) (VP (VBZ is) (S (VP (VBG making) (S (NP (DT the) (NN animal)) (ADJP (JJ relaxed)))))))))))	('VP',)
63.1041279296875	68.2041279296875	this is one of the secrets actually of being able to get get get good photography is making the animal relaxed	(SBAR (S (NP (DT this)) (VP (VBZ is) (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))) (VP (VBZ is) (S (VP (VBG making) (S (NP (DT the) (NN animal)) (ADJP (JJ relaxed))))))))))	('SBAR', 'S')
63.2841279296875	68.2041279296875	is one of the secrets actually of being able to get get get good photography is making the animal relaxed	(VP (VBZ is) (NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))) (VP (VBZ is) (S (VP (VBG making) (S (NP (DT the) (NN animal)) (ADJP (JJ relaxed))))))))	('VP',)
63.4041279296875	68.2041279296875	one of the secrets actually of being able to get get get good photography is making the animal relaxed	(NP (NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))) (VP (VBZ is) (S (VP (VBG making) (S (NP (DT the) (NN animal)) (ADJP (JJ relaxed)))))))	('NP',)
63.4041279296875	66.8741279296875	one of the secrets actually of being able to get get get good photography	(NP (NP (CD one)) (PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography))))))))))))))))	('NP',)
63.5441279296875	66.8741279296875	of the secrets actually of being able to get get get good photography	(PP (IN of) (NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography)))))))))))))))	('PP',)
63.6141279296875	66.8741279296875	the secrets actually of being able to get get get good photography	(NP (NP (DT the) (NNS secrets)) (ADVP (RB actually)) (PP (IN of) (S (VP (VBG being) (ADJP (JJ able) (S (VP (TO to) (VP (VB get) (S (VP (VB get) (S (VP (VB get) (NP (JJ good) (NN photography))))))))))))))	('NP',)
